,Thực tế,Dự đoán,MAPE
119,33.67059608,32.215332,4.322065
120,22.97562307,21.977568,4.3439717
121,20.00084677,19.138609,4.3110075
122,13.80968676,14.010122,1.4514134
123,14.83257338,13.771958,7.150577
124,17.60623999,16.55329,5.98055
125,17.74693661,17.823917,0.43376833
126,15.51171675,14.30497,7.779584
127,10.87403756,10.80673,0.6189741
128,17.96047734,17.837257,0.6860644
129,22.50187664,20.980726,6.7601056
130,16.7495533,16.488829,1.5566087
131,6.450946697,6.273013,2.7582572
132,2.454086673,2.608594,6.2959127
133,5.496273335,6.6257997,20.550764
134,7.574179983,7.774148,2.6401255
135,1.081667737,1.028359,4.9283824
136,1.132333335,1.0684088,5.6453724
137,1.484933329,1.4719543,0.874048
138,2.493396656,2.7434847,10.030011
139,2.020845171,1.9920183,1.4264741
140,2.749064492,2.8454874,3.5074809
141,3.386693335,3.3474443,1.1589164
142,3.303086654,3.299938,0.09532884
143,1.419166651,1.4462631,1.909317
144,6.647906669,7.053176,6.096192
145,11.29012001,10.8571415,3.8350224
146,5.091313378,5.060025,0.6145398
147,21.97384008,22.242235,1.2214272
148,33.61402413,33.636597,0.067149244
149,35.08725478,35.391483,0.86706626
150,35.78020827,35.474808,0.8535469
151,35.38264008,35.35821,0.06904324
152,33.0174902,34.981697,5.9489884
153,34.93505219,34.85331,0.23398085
154,34.71649975,34.804207,0.2526393
155,35.48855019,34.780945,1.9939029
156,34.97904968,34.67009,0.88327146
157,32.86434987,32.197605,2.0287764
158,34.33909635,33.374992,2.8075979
159,28.79944649,27.75677,3.6204755
160,27.60374667,26.858732,2.6989603
161,22.55801675,22.179955,1.6759509
162,8.015393273,7.3579273,8.202541
163,14.64424995,15.797664,7.8762226
164,23.89560006,24.27047,1.5687838
165,10.67565876,10.710276,0.32425603
166,10.16260665,11.291044,11.103825
167,11.6843599,11.82045,1.1647218
168,12.08296668,13.06296,8.110532
169,10.939496628,11.629584,6.308218
170,6.966769981,6.8197336,2.1105413
171,6.629736614,7.2802944,9.812728
172,6.061363379,6.3782096,5.227312
173,4.520050025,4.4948316,0.5579249
174,2.124979997,2.1376328,0.59543496
175,1.030816669,0.9748467,5.429671
176,2.80297335,2.6842449,4.235802
177,1.659999995,1.6479166,0.72791636
178,2.336489995,2.1222267,9.170302
179,1.77038667,1.608458,9.146513
180,1.656780005,1.7684296,6.738953
181,1.68733342,1.8183362,7.763894
182,1.8196657,1.9852705,9.100838
183,4.957583348,5.5791802,12.538301
184,24.86851327,26.062948,4.803002
185,26.3595418,27.981607,6.1536217
186,21.58157733,21.859228,1.2865179
187,17.89013309,17.303598,3.2785363
188,34.09674168,35.0595,2.8236156
189,35.39648492,34.836433,1.5822221
190,34.11347922,34.460747,1.0179764
191,35.57079245,34.859055,2.0009072
192,35.77047491,34.99676,2.162991
